target_name,volatility_window,threshold_multiplier,down_share,flat_share,up_share,median_flat_boundary,median_flat_boundary_percent,flat_share_block_min,flat_share_block_max,flat_share_block_range,flat_share_by_block,decision_threshold,stage1_roc_auc,stage1_average_precision,stage1_brier_score,stage1_balanced_accuracy,stage1_macro_f1,stage1_flat_precision,stage1_flat_recall,stage1_flat_f1,stage1_move_f1,stage1_roc_auc_fold_mean,stage1_roc_auc_fold_std,stage1_flat_f1_fold_mean,stage1_flat_f1_fold_std,fold_metrics,oof_rows,neighbor_roc_auc_mean,neighbor_roc_auc_min,rank_auc,rank_neighbor_auc,rank_balanced_accuracy,rank_flat_f1,rank_auc_stability,rank_target_stability,robust_rank_score
flat_60d_k725,60,0.725,0.1845787436737124,0.5933313486156594,0.22208990771062817,0.006316840350125188,0.6316840350125188,0.5639880952380952,0.6205357142857143,0.05654761904761907,"[0.5639880952380952, 0.59375, 0.5758928571428571, 0.6205357142857143, 0.6125186289120715]",0.5102098882198334,0.6450408701384311,0.5347104212468552,0.23069761052060403,0.6163760711931443,0.6175954841706367,0.6904315196998124,0.7277521423862887,0.7086007702182285,0.5265901981230449,0.6496762555292509,0.03442173752287733,0.7079325275201563,0.012640046798992888,"[{'roc_auc': 0.6037156456318133, 'average_precision': 0.5072652339550345, 'balanced_accuracy': 0.5900299991732512, 'flat_f1': 0.7207207207207207, 'flat_recall': 0.7984031936127745}, {'roc_auc': 0.6587640886125146, 'average_precision': 0.5597381147430993, 'balanced_accuracy': 0.6226813412005794, 'flat_f1': 0.7123552123552124, 'flat_recall': 0.7409638554216867}, {'roc_auc': 0.6865490323434249, 'average_precision': 0.5686993075263492, 'balanced_accuracy': 0.6411160827048678, 'flat_f1': 0.6907216494845361, 'flat_recall': 0.6467181467181468}]",2517,0.6449039166210497,0.6375926197253852,2.0,1.0,1.0,2.0,116.0,105.0,229.0
flat_30d_k750,30,0.75,0.1863649895802322,0.591247395058053,0.2223876153617148,0.006235184791880274,0.6235184791880275,0.5714285714285714,0.6130952380952381,0.04166666666666674,"[0.5714285714285714, 0.59375, 0.5863095238095238, 0.6130952380952381, 0.5916542473919523]",0.5389819741249084,0.6359942217653848,0.5140695995212881,0.23623212441036712,0.5984488410670018,0.5994589433481858,0.6719706242350061,0.7281167108753316,0.6989178866963718,0.5,0.638670972926889,0.0447573836792945,0.6985014764659457,0.012963391691096414,"[{'roc_auc': 0.575384377747677, 'average_precision': 0.4608805287585157, 'balanced_accuracy': 0.5630599320358356, 'flat_f1': 0.6923783287419651, 'flat_recall': 0.7435897435897436}, {'roc_auc': 0.6693446088794925, 'average_precision': 0.568508129390916, 'balanced_accuracy': 0.6012215175005873, 'flat_f1': 0.716528162511542, 'flat_recall': 0.7838383838383839}, {'roc_auc': 0.6712839321534975, 'average_precision': 0.5510784011586141, 'balanced_accuracy': 0.6323546867025127, 'flat_f1': 0.6865979381443299, 'flat_recall': 0.658102766798419}]",2517,0.6336893751599111,0.6325334254215642,5.0,6.0,20.0,5.0,160.0,38.0,239.0
flat_40d_k725,40,0.725,0.188151235486752,0.5864840726406668,0.22536469187258112,0.006167900878076755,0.6167900878076755,0.5595238095238095,0.6011904761904762,0.04166666666666663,"[0.5595238095238095, 0.5907738095238095, 0.5818452380952381, 0.6011904761904762, 0.5991058122205664]",0.545228511095047,0.6330654773599488,0.518958634415795,0.2407709361955826,0.6025109041612637,0.6028590362586387,0.6765285996055227,0.687374749498998,0.6819085487077535,0.5238095238095238,0.6344071227694457,0.04685971017708209,0.6821405377590001,0.00826528602050526,"[{'roc_auc': 0.5689644980907231, 'average_precision': 0.47004152251786807, 'balanced_accuracy': 0.561767765732323, 'flat_f1': 0.670487106017192, 'flat_recall': 0.6992031872509961}, {'roc_auc': 0.6580898614829473, 'average_precision': 0.5719813134991283, 'balanced_accuracy': 0.6163106739611222, 'flat_f1': 0.6887550200803213, 'flat_recall': 0.7086776859504132}, {'roc_auc': 0.6761670087346666, 'average_precision': 0.5540852154645584, 'balanced_accuracy': 0.6311423082430433, 'flat_f1': 0.6871794871794872, 'flat_recall': 0.6555772994129159}]",2517,0.6334914157509637,0.6330654773599488,10.0,7.0,8.0,10.0,163.0,37.0,245.0
flat_30d_k725,30,0.725,0.19023518904435843,0.5802322119678476,0.229532598987794,0.006027345298817599,0.6027345298817599,0.5580357142857143,0.6041666666666666,0.04613095238095233,"[0.5580357142857143, 0.5863095238095238, 0.5744047619047619, 0.6041666666666666, 0.5782414307004471]",0.5319147706031799,0.6325334254215642,0.5215434227846361,0.23734062654753482,0.5998540488415127,0.6005398599446048,0.6666666666666666,0.6972972972972973,0.6816380449141347,0.5194416749750748,0.6350748331644488,0.04189227765305239,0.6806094717586553,0.02906025856975781,"[{'roc_auc': 0.5758880770000118, 'average_precision': 0.4792044835209748, 'balanced_accuracy': 0.561900643627849, 'flat_f1': 0.6627906976744186, 'flat_recall': 0.6881287726358148}, {'roc_auc': 0.6669354367513878, 'average_precision': 0.5701765795109203, 'balanced_accuracy': 0.6238562664329536, 'flat_f1': 0.7215909090909091, 'flat_recall': 0.7791411042944786}, {'roc_auc': 0.6624009857419468, 'average_precision': 0.5508173399372618, 'balanced_accuracy': 0.6142023117995659, 'flat_f1': 0.6574468085106383, 'flat_recall': 0.6255060728744939}]",2517,0.6315769666765103,0.6262032528425817,11.0,10.0,15.0,11.0,151.0,57.0,266.0
flat_60d_k675,60,0.675,0.19470080381065794,0.567728490622209,0.23757070556713308,0.00588119618804759,0.5881196188047589,0.5416666666666666,0.5952380952380952,0.0535714285714286,"[0.5416666666666666, 0.5669642857142857, 0.5491071428571429, 0.5952380952380952, 0.5856929955290611]",0.5310050845146179,0.6344317920404877,0.5518180341869608,0.23537322384590223,0.6038957514287265,0.6036180007360313,0.6522781774580336,0.7508626639061422,0.6981071543150466,0.5091288471570161,0.6388221969100722,0.041222024467852066,0.6985010389470466,0.011911961615353357,"[{'roc_auc': 0.5868578836493274, 'average_precision': 0.5260301154182697, 'balanced_accuracy': 0.5673223834988541, 'flat_f1': 0.6834264432029795, 'flat_recall': 0.7710084033613446}, {'roc_auc': 0.6419206134102413, 'average_precision': 0.5617806792413673, 'balanced_accuracy': 0.5981184196810174, 'flat_f1': 0.6995260663507109, 'flat_recall': 0.7735849056603774}, {'roc_auc': 0.687688093670648, 'average_precision': 0.5978372745961296, 'balanced_accuracy': 0.6507570770243581, 'flat_f1': 0.7125506072874493, 'flat_recall': 0.7096774193548387}]",2517,0.6328961899588573,0.626664158110699,6.0,9.0,5.0,6.0,146.0,94.0,272.0
flat_40d_k700,40,0.7,0.19648704971717773,0.5695147365287287,0.2339982137540935,0.005955214640901695,0.5955214640901695,0.5431547619047619,0.5907738095238095,0.04761904761904767,"[0.5431547619047619, 0.5714285714285714, 0.5580357142857143, 0.5907738095238095, 0.5842026825633383]",0.5459618270397186,0.6335890481508175,0.5363477189005831,0.23843935543473624,0.5994541285531463,0.6000722230247002,0.6561696658097687,0.702200825309491,0.6784053156146179,0.5217391304347826,0.6349337238397833,0.04168267798303487,0.6783115012354871,0.005870490710266881,"[{'roc_auc': 0.5765077708188355, 'average_precision': 0.5031666460644, 'balanced_accuracy': 0.5789057063326375, 'flat_f1': 0.6831588962892483, 'flat_recall': 0.7494780793319415}, {'roc_auc': 0.6573662522860384, 'average_precision': 0.5766485636433657, 'balanced_accuracy': 0.6000821816329838, 'flat_f1': 0.6700507614213198, 'flat_recall': 0.6932773109243697}, {'roc_auc': 0.6709271484144761, 'average_precision': 0.5603220238276111, 'balanced_accuracy': 0.6223712130142638, 'flat_f1': 0.6817248459958932, 'flat_recall': 0.6653306613226453}]",2517,0.6313424485612004,0.6273728201728346,9.0,11.0,17.0,12.0,150.0,69.0,277.0
flat_90d_k700,90,0.7,0.18576957427805896,0.591247395058053,0.22298303066388805,0.006258901613641564,0.6258901613641563,0.5654761904761905,0.6205357142857143,0.055059523809523836,"[0.5654761904761905, 0.5863095238095238, 0.5714285714285714, 0.6205357142857143, 0.6125186289120715]",0.5120611488819122,0.648652580688482,0.5425464001875135,0.23106022992506162,0.616006232834689,0.617211262709655,0.6887914840325611,0.7270323859881032,0.707395498392283,0.527027027027027,0.6498679116309845,0.0543570852385389,0.7077088145041922,0.025262815293193464,"[{'roc_auc': 0.5920821079734023, 'average_precision': 0.49838505338892425, 'balanced_accuracy': 0.5692343124402084, 'flat_f1': 0.6737044145873321, 'flat_recall': 0.7005988023952096}, {'roc_auc': 0.6348559191405745, 'average_precision': 0.5477368393556227, 'balanced_accuracy': 0.6060721051454929, 'flat_f1': 0.715219421101774, 'flat_recall': 0.7706237424547284}, {'roc_auc': 0.7226657077789764, 'average_precision': 0.6171131403101455, 'balanced_accuracy': 0.6763274601462304, 'flat_f1': 0.7342026078234705, 'flat_recall': 0.7106796116504854}]",2517,0.6421970541020049,0.6378099262252322,1.0,2.0,2.0,3.0,175.0,99.0,283.0
flat_20d_k725,20,0.725,0.19231914260196487,0.5727895206906818,0.23489133670735338,0.006137406952932107,0.6137406952932107,0.5550595238095238,0.6026785714285714,0.04761904761904756,"[0.5565476190476191, 0.5788690476190477, 0.5550595238095238, 0.6026785714285714, 0.5707898658718331]",0.5590028166770935,0.6315827622135503,0.5304063235928351,0.23954924384527634,0.6003154910982973,0.6005644488389641,0.6535867565910485,0.7326460481099656,0.6908619572261827,0.5102669404517454,0.6329869147727575,0.04418328788016903,0.6909044316050738,0.004363826852667303,"[{'roc_auc': 0.5708121059855304, 'average_precision': 0.4962196706510166, 'balanced_accuracy': 0.574772605671482, 'flat_f1': 0.6884939195509823, 'flat_recall': 0.7619047619047619}, {'roc_auc': 0.669456164208422, 'average_precision': 0.5602942589873974, 'balanced_accuracy': 0.6082208817136814, 'flat_f1': 0.6871896722939425, 'flat_recall': 0.7178423236514523}, {'roc_auc': 0.6586924741243202, 'average_precision': 0.5641073458679564, 'balanced_accuracy': 0.6184959943862931, 'flat_f1': 0.697029702970297, 'flat_recall': 0.7183673469387755}]",2517,0.6266306247727083,0.6235234669877615,14.0,21.0,13.0,8.0,159.0,65.0,294.0
flat_90d_k675,90,0.675,0.19231914260196487,0.5757665972015481,0.23191426019648706,0.006035369413154365,0.6035369413154366,0.5461309523809523,0.6071428571428571,0.06101190476190477,"[0.5491071428571429, 0.5773809523809523, 0.5461309523809523, 0.6071428571428571, 0.5991058122205664]",0.5223957896232605,0.6378099262252322,0.5465964571855438,0.2348040201742847,0.6050480622252634,0.6058861740832544,0.6654228855721394,0.7259158751696065,0.6943543153796237,0.5174180327868853,0.6379023511734364,0.05756422180581345,0.6944366145503275,0.032772700734657115,"[{'roc_auc': 0.5844047507933545, 'average_precision': 0.5100470173331269, 'balanced_accuracy': 0.5666446938585028, 'flat_f1': 0.6653734238603298, 'flat_recall': 0.704312114989733}, {'roc_auc': 0.6115101642316678, 'average_precision': 0.5414039777114632, 'balanced_accuracy': 0.5850854864767484, 'flat_f1': 0.6777020447906524, 'flat_recall': 0.7219917012448133}, {'roc_auc': 0.7177921384952867, 'average_precision': 0.6209345100928101, 'balanced_accuracy': 0.665666686429122, 'flat_f1': 0.740234375, 'flat_recall': 0.7504950495049505}]",2517,0.6400639920663947,0.6337294692854698,3.0,3.0,4.0,7.0,178.0,127.0,325.0
flat_20d_k700,20,0.7,0.19857100327478416,0.5584995534385234,0.24292944328669247,0.005925772230417206,0.5925772230417207,0.5372023809523809,0.59375,0.05654761904761907,"[0.5446428571428571, 0.5669642857142857, 0.5372023809523809, 0.59375, 0.5499254843517138]",0.5456635653972626,0.624785645116813,0.5404987541687322,0.2402466191807772,0.5952255135218331,0.5955455556818512,0.6402116402116402,0.6840989399293286,0.6614280833618039,0.5296630280018985,0.625571366249699,0.03771067008901209,0.6610260406583612,0.008645777567622867,"[{'roc_auc': 0.5734244363720232, 'average_precision': 0.5101498640620035, 'balanced_accuracy': 0.570754771377501, 'flat_f1': 0.6698748796920115, 'flat_recall': 0.7404255319148936}, {'roc_auc': 0.6613229113748672, 'average_precision': 0.5687200241031374, 'balanced_accuracy': 0.61237761511107, 'flat_f1': 0.6492942453854506, 'flat_recall': 0.6334745762711864}, {'roc_auc': 0.6419667510022067, 'average_precision': 0.571377562819863, 'balanced_accuracy': 0.6029846694162364, 'flat_f1': 0.6639089968976215, 'flat_recall': 0.678646934460888}]",2517,0.6263799333921368,0.6227713928460469,30.0,22.0,29.0,17.0,134.0,105.0,367.0
