feature,direction,predictive_auc,fold_predictive_auc_mean,fold_predictive_auc_std,rows,flat_share,start_date,end_date
stochastic_14,higher_flat,0.6311482985474339,0.634164260732463,0.019494955252893426,3368,0.41211401425178146,2007-06-08,2020-10-26
return_10d,higher_flat,0.6158616059732774,0.6256497509640999,0.022871354153436486,3368,0.41211401425178146,2007-06-08,2020-10-26
rsi_centered,higher_flat,0.6143016985416121,0.6187956439894936,0.022780158777378646,3368,0.41211401425178146,2007-06-08,2020-10-26
return_20d,higher_flat,0.6100520696882369,0.6180047491122599,0.022642129487664697,3368,0.41211401425178146,2007-06-08,2020-10-26
sma_10_slope_5,higher_flat,0.610225817250313,0.6176573382936349,0.021433156125708654,3368,0.41211401425178146,2007-06-08,2020-10-26
dmi_spread_14,higher_flat,0.6091545862079004,0.6148113188989593,0.016199086598338536,3368,0.41211401425178146,2007-06-08,2020-10-26
vix_term_slope,higher_move,0.6093308865047995,0.6078147794257186,0.031493136147858175,2468,0.4100486223662885,2011-01-04,2020-10-26
signed_trend_efficiency_20,higher_flat,0.6015095115419322,0.6052158109778143,0.018320099963008336,3368,0.41211401425178146,2007-06-08,2020-10-26
sma_10_20_spread,higher_flat,0.6010570401420545,0.6014382438871654,0.01845849732175166,3368,0.41211401425178146,2007-06-08,2020-10-26
realized_volatility_ratio_10_40,higher_move,0.5984582860303321,0.6005419735435811,0.015032074818907032,3368,0.41211401425178146,2007-06-08,2020-10-26
rty_return_5d,higher_flat,0.5864817645774186,0.5971083525145332,0.027745084792529184,824,0.41504854368932037,2017-07-18,2020-10-26
sma_5_slope_5,higher_flat,0.5910819287980671,0.5969746902460934,0.021682395187535137,3368,0.41211401425178146,2007-06-08,2020-10-26
vix_vix3m_ratio,higher_move,0.5851021017087299,0.5969640024137719,0.0171019431360055,3368,0.41211401425178146,2007-06-08,2020-10-26
sma_5_10_spread,higher_flat,0.5910509999126714,0.596761455992918,0.0217779508759098,3368,0.41211401425178146,2007-06-08,2020-10-26
futures_threeway_dispersion_1d,higher_move,0.567563184701134,0.5966883055814095,0.03267935170546225,828,0.41545893719806765,2017-07-12,2020-10-26
vix9d_vix_ratio,higher_move,0.605796377535508,0.5954413887795019,0.0234469372885535,2468,0.4100486223662885,2011-01-04,2020-10-26
sma_20_slope_5,higher_flat,0.5915207551014467,0.594557266860732,0.023546964594181305,3368,0.41211401425178146,2007-06-08,2020-10-26
vix9d_level,higher_move,0.5855564272683838,0.5919740988510526,0.01952435499227155,2468,0.4100486223662885,2011-01-04,2020-10-26
range_compression_5_20,higher_move,0.5935187610980118,0.591842677465912,0.021463768467273686,3368,0.41211401425178146,2007-06-08,2020-10-26
return_5d,higher_flat,0.5948707172590457,0.5904090785401394,0.014043904316161506,3368,0.41211401425178146,2007-06-08,2020-10-26
es_return_5d,higher_flat,0.5945472792922503,0.5885978803898306,0.011335506357828788,3364,0.4123067776456599,2007-06-08,2020-10-26
close_vs_sma_5,higher_flat,0.5859360900066952,0.5868482294121862,0.02042174755035589,3368,0.41211401425178146,2007-06-08,2020-10-26
lower_low_share_5,higher_move,0.5858978837365004,0.5868008175604821,0.008523974528295326,3368,0.41211401425178146,2007-06-08,2020-10-26
sector_positive_participation_5d,higher_flat,0.5871097502401537,0.584135300364055,0.0054345257879715066,3368,0.41211401425178146,2007-06-08,2020-10-26
nq_return_5d,higher_flat,0.5910348240526692,0.583829769240145,0.010212002847253905,3364,0.4123067776456599,2007-06-08,2020-10-26
higher_high_share_5,higher_flat,0.5753840639827672,0.5777067221642828,0.007021300530616567,3368,0.41211401425178146,2007-06-08,2020-10-26
return_2d,higher_flat,0.5781949538613804,0.5761255289665032,0.02141833754525475,3368,0.41211401425178146,2007-06-08,2020-10-26
cyclical_defensive_spread_5d,higher_flat,0.575878744214479,0.5757845158098618,0.010549811192461995,3368,0.41211401425178146,2007-06-08,2020-10-26
return_3d,higher_flat,0.5695501484586499,0.5751873160864728,0.020124822777104475,3368,0.41211401425178146,2007-06-08,2020-10-26
realized_volatility_ratio_5_20,higher_move,0.5712019328734026,0.5745261703695919,0.015701753191903537,3368,0.41211401425178146,2007-06-08,2020-10-26
hyg_tlt_risk_on_5d,higher_flat,0.5762917358018222,0.5736800014495715,0.01713819832488595,3368,0.41211401425178146,2007-06-08,2020-10-26
ma_5_10_20_50_alignment_score,higher_flat,0.5709324877012196,0.5725367228870918,0.011358948152765933,3368,0.41211401425178146,2007-06-08,2020-10-26
efficiency_ratio_10,higher_flat,0.5534896879457398,0.5709638195757282,0.017288035084278584,3368,0.41211401425178146,2007-06-08,2020-10-26
realized_volatility_ratio_20_40,higher_move,0.5721450819433529,0.5697737734694402,0.019727324289250486,3368,0.41211401425178146,2007-06-08,2020-10-26
vix_change_5,higher_move,0.5744974965796292,0.5691341450132161,0.008901287881821063,3368,0.41211401425178146,2007-06-08,2020-10-26
choppiness_index_14,higher_move,0.5475065860332432,0.5689878386412285,0.015645633361165003,3368,0.41211401425178146,2007-06-08,2020-10-26
vix3m_change_5,higher_move,0.5771628387622625,0.5686255522467565,0.00971972143959855,3368,0.41211401425178146,2007-06-08,2020-10-26
tech_defensive_spread_5d,higher_flat,0.5683866765639101,0.5677725221874285,0.01266256576500869,3368,0.41211401425178146,2007-06-08,2020-10-26
ief_return_5,higher_move,0.5667283425028382,0.5674828364326364,0.015516848474180417,3368,0.41211401425178146,2007-06-08,2020-10-26
distance_from_252d_high,higher_flat,0.5434334157658093,0.5659301091407293,0.02829273946420032,3157,0.41748495407031994,2008-04-10,2020-10-26
breadth_instability_5,higher_move,0.5560316784560301,0.565416394732,0.01434291757084565,3368,0.41211401425178146,2007-06-08,2020-10-26
tlt_return_5,higher_move,0.5573170465461532,0.5645262941244017,0.020914675381438912,3368,0.41211401425178146,2007-06-08,2020-10-26
hyg_lqd_relative_return_5,higher_flat,0.566656842197188,0.5644582452697212,0.01042541795751695,3368,0.41211401425178146,2007-06-08,2020-10-26
vix_change_volatility_10,higher_move,0.564383023316741,0.5640772409275936,0.006987035233304761,3368,0.41211401425178146,2007-06-08,2020-10-26
sector_correlation_change_5,higher_move,0.558801269175909,0.5639347976491366,0.02198527948916357,3368,0.41211401425178146,2007-06-08,2020-10-26
crude_return_20d,higher_flat,0.5510091151538521,0.5633648148147637,0.014939460143311965,3362,0.41225461035098154,2007-06-08,2020-10-26
signed_return_streak,higher_flat,0.5623753747853171,0.5629954738972558,0.00912084976261085,3368,0.41211401425178146,2007-06-08,2020-10-26
implied_realized_spread_20,higher_move,0.556067883445405,0.5603126207221701,0.018374580164542992,3368,0.41211401425178146,2007-06-08,2020-10-26
realized_volatility_5,higher_move,0.5527344773382238,0.5596633206877489,0.013834205305262118,3368,0.41211401425178146,2007-06-08,2020-10-26
relative_volume_20,higher_move,0.5618428521526504,0.5596344752233895,0.010741567759626973,3368,0.41211401425178146,2007-06-08,2020-10-26
rty_return_1d,higher_flat,0.5384814049586777,0.5576351587909765,0.01949104016780392,828,0.41545893719806765,2017-07-12,2020-10-26
tlt_ief_relative_return_5,higher_move,0.5432604139376473,0.5552618152025904,0.022109065534909107,3368,0.41211401425178146,2007-06-08,2020-10-26
vxn_level,higher_move,0.5441757270107415,0.5545670590706725,0.02538426193187504,3368,0.41211401425178146,2007-06-08,2020-10-26
crude_return_5d,higher_flat,0.5514251830041303,0.5545221184106789,0.027391049068286787,3362,0.41225461035098154,2007-06-08,2020-10-26
vix9d_change_5,higher_move,0.5649658402880053,0.5541904851467453,0.009602081103490931,2463,0.4092570036540804,2011-01-11,2020-10-26
es_return_1d,higher_flat,0.5546319762699945,0.5529295881009638,0.006930260947103936,3364,0.41200951248513673,2007-06-08,2020-10-26
rsp_relative_return_20,higher_flat,0.5460152679533083,0.5522623294112744,0.019927792760937684,3368,0.41211401425178146,2007-06-08,2020-10-26
implied_realized_gap_abs,higher_move,0.5458253282100545,0.5519513655234881,0.010904580622086178,3368,0.41211401425178146,2007-06-08,2020-10-26
consensus_strength_20,higher_move,0.54527588565773,0.5517606290975081,0.006029521015578716,3368,0.41211401425178146,2007-06-08,2020-10-26
mean_absolute_return_5,higher_move,0.545690696591273,0.55112437146399,0.015239938486896799,3368,0.41211401425178146,2007-06-08,2020-10-26
sma_10_50_spread,higher_flat,0.5494789392483916,0.5506620993240267,0.013530831148664744,3368,0.41211401425178146,2007-06-08,2020-10-26
max_absolute_return_5,higher_move,0.5403596483567664,0.5501779793094834,0.014979664939215475,3368,0.41211401425178146,2007-06-08,2020-10-26
iwm_relative_return_5,higher_flat,0.5544217390038716,0.5501232776740373,0.002770185509168812,3368,0.41211401425178146,2007-06-08,2020-10-26
nq_return_1d,higher_flat,0.5567029167888622,0.5497149140968244,0.004182767258610834,3364,0.41200951248513673,2007-06-08,2020-10-26
hyg_return_5,higher_flat,0.5635495808226356,0.5494447705917836,0.016027523966678794,3368,0.41211401425178146,2007-06-08,2020-10-26
realized_volatility_40,higher_flat,0.5292914738159695,0.5494115655606295,0.03463788453465074,3368,0.41211401425178146,2007-06-08,2020-10-26
trend_efficiency_20,higher_flat,0.5357346883823829,0.5478886829657796,0.02046797970393084,3368,0.41211401425178146,2007-06-08,2020-10-26
candle_body_to_range,higher_flat,0.547856082438215,0.5476389793272868,0.016011124232713562,3368,0.41211401425178146,2007-06-08,2020-10-26
return_directional_imbalance_20,higher_flat,0.5350622580269555,0.5471640406414547,0.007082744913460179,3368,0.41211401425178146,2007-06-08,2020-10-26
futures_cash_divergence_abs,higher_move,0.5347177538785223,0.5468186393225174,0.016434863993274693,3364,0.41200951248513673,2007-06-08,2020-10-26
signal_disagreement_20,higher_move,0.5412940645649579,0.5455539476810157,0.008705770313262301,3368,0.41211401425178146,2007-06-08,2020-10-26
ma_alignment_score,higher_flat,0.549048118068291,0.5452592634556622,0.013263847081347544,3368,0.41211401425178146,2007-06-08,2020-10-26
realized_volatility_10,higher_move,0.5383896602916776,0.5447515668507966,0.013608854610438748,3368,0.41211401425178146,2007-06-08,2020-10-26
return_sign_entropy_20,higher_move,0.5326405263004687,0.5446548995257032,0.008138937302786454,3368,0.41211401425178146,2007-06-08,2020-10-26
close_location_value,higher_flat,0.5457219893459087,0.5445359705442135,0.02167677795382507,3368,0.41211401425178146,2007-06-08,2020-10-26
sector_positive_participation,higher_flat,0.5499241332634704,0.5433390354321168,0.011718366262605839,3368,0.41211401425178146,2007-06-08,2020-10-26
mean_absolute_return_40,higher_flat,0.5270001892120049,0.5428830014432904,0.029815153027719955,3368,0.41211401425178146,2007-06-08,2020-10-26
sector_volume_breadth,higher_flat,0.5462794370215119,0.5423252462949016,0.010709770194843713,3368,0.41211401425178146,2007-06-08,2020-10-26
cyclical_defensive_spread_1d,higher_flat,0.5423467382761331,0.541737057377785,0.016734321328529592,3368,0.41211401425178146,2007-06-08,2020-10-26
ma_compression,higher_move,0.5028960352807614,0.5416413676629989,0.005072844818891675,3368,0.41211401425178146,2007-06-08,2020-10-26
implied_realized_ratio_20,higher_move,0.5397639944109686,0.5415585966142603,0.016696616574284742,3368,0.41211401425178146,2007-06-08,2020-10-26
gold_dollar_relative_return_5d,higher_move,0.5041878502563183,0.5404637299700855,0.008679695313119039,3364,0.4123067776456599,2007-06-08,2020-10-26
vix_term_inversion,higher_move,0.541939039221648,0.5402323831854472,0.009752599076964782,2468,0.4100486223662885,2011-01-04,2020-10-26
rty_es_relative_return_5d,higher_flat,0.5477785057387591,0.5401508044375044,0.012929315681151408,824,0.41504854368932037,2017-07-18,2020-10-26
hyg_tlt_risk_on_1d,higher_flat,0.5418617005792798,0.5398906044965807,0.013224513845554033,3368,0.41211401425178146,2007-06-08,2020-10-26
gld_return_5,higher_move,0.5114527843274241,0.5398760007513338,0.0005462135105831579,3368,0.41211401425178146,2007-06-08,2020-10-26
return_directional_imbalance_10,higher_flat,0.5325293642476641,0.5396738692814647,0.017252574158691313,3368,0.41211401425178146,2007-06-08,2020-10-26
rty_es_relative_return_1d,higher_flat,0.5165229194695369,0.5396667511279555,0.012702299834574417,828,0.41545893719806765,2017-07-12,2020-10-26
ief_return,higher_move,0.533909702209414,0.5395281077704726,0.02014018306395074,3368,0.41211401425178146,2007-06-08,2020-10-26
vix3m_level,higher_move,0.5308706663173522,0.5394121860264524,0.02515897213582715,3368,0.41211401425178146,2007-06-08,2020-10-26
sector_dispersion_ratio_5_20,higher_move,0.5473506680639246,0.5383695052599248,0.00950700533430181,3368,0.41211401425178146,2007-06-08,2020-10-26
tlt_return,higher_move,0.5329967542863796,0.5382619172747182,0.01690830685619369,3368,0.41211401425178146,2007-06-08,2020-10-26
term_breadth_interaction,higher_move,0.5287245655401275,0.5367849180900267,0.024951903911753715,3368,0.41211401425178146,2007-06-08,2020-10-26
mean_absolute_return_10,higher_move,0.5336902890577243,0.5366428716475448,0.011658934731813606,3368,0.41211401425178146,2007-06-08,2020-10-26
vvix_change_5,higher_move,0.5398356766512387,0.5351266973349659,0.018695842036136452,3368,0.41211401425178146,2007-06-08,2020-10-26
breadth_momentum_interaction,higher_flat,0.5327536896340931,0.5350687509932622,0.009731593487835156,3368,0.41211401425178146,2007-06-08,2020-10-26
rsp_relative_return_5,higher_flat,0.5342702966262044,0.5346165737917807,0.01973611085161126,3368,0.41211401425178146,2007-06-08,2020-10-26
tech_defensive_spread_1d,higher_flat,0.5350777224696532,0.5341850064649641,0.016234778813869095,3368,0.41211401425178146,2007-06-08,2020-10-26
rty_nq_relative_return_1d,higher_flat,0.5113095810109552,0.5340244230124703,0.016759843079689876,828,0.41545893719806765,2017-07-12,2020-10-26
smallcap_credit_confirmation,higher_flat,0.5180086164236021,0.5338542877041933,0.012512106960196672,3368,0.41211401425178146,2007-06-08,2020-10-26
hyg_lqd_relative_return,higher_flat,0.535479070241318,0.5330501049947348,0.014916118933216056,3368,0.41211401425178146,2007-06-08,2020-10-26
tlt_ief_relative_return,higher_move,0.5282882863214275,0.5330495135210733,0.013555437927754524,3368,0.41211401425178146,2007-06-08,2020-10-26
adx_14,higher_move,0.5421491572788403,0.5318981831219189,0.04300536311398892,3368,0.41211401425178146,2007-06-08,2020-10-26
bollinger_width_zscore_20,higher_move,0.5035255290658749,0.530961272499665,0.0039537301982301995,3368,0.41211401425178146,2007-06-08,2020-10-26
