candidate_name,groups,status,feature_count,training_rows,training_start,training_end,matched_base_roc_auc,delta_roc_auc_vs_matched_base,decision_threshold,stage2_roc_auc,stage2_average_precision,stage2_brier_score,stage2_balanced_accuracy,stage2_macro_f1,stage2_down_f1,stage2_up_f1,stage2_roc_auc_fold_mean,stage2_roc_auc_fold_std,oof_move_rows
calendar+equity_rotation+futures_core+technical_dynamics+volatility_options_core,"['calendar', 'equity_rotation', 'futures_core', 'technical_dynamics', 'volatility_options_core']",ok,86,2592,2007-08-20,2018-02-02,0.4935963182117028,0.06918474687705467,0.4528610110282898,0.5627810650887575,0.6239623466254611,0.2510544009045481,0.5581985535831689,0.5574373633764923,0.46645367412140576,0.6484210526315789,0.5571854074798068,0.025851075801424157,788
calendar+technical_dynamics,"['calendar', 'technical_dynamics']",ok,52,2633,2007-08-20,2018-02-02,0.482387020559996,0.06864223596239888,0.4705474078655243,0.5510292565223949,0.6019504206580939,0.255038954465,0.5567976172522997,0.5561870491237442,0.5076708507670851,0.6047032474804032,0.5460386547090792,0.018852714823833126,805
calendar+equity_rotation+macro_cross_asset+volatility_options_core,"['calendar', 'equity_rotation', 'macro_cross_asset', 'volatility_options_core']",ok,63,2590,2007-08-20,2018-02-02,0.48758453085376163,0.06354672971259512,0.47530636191368103,0.5511312605663568,0.6197696287305754,0.253392102049894,0.5478589919695689,0.5454256655376841,0.5089903181189488,0.5818610129564193,0.5517640081717872,0.029854917052020306,786
calendar+equity_rotation+futures_core+volatility_options_core,"['calendar', 'equity_rotation', 'futures_core', 'volatility_options_core']",ok,65,2592,2007-08-20,2018-02-02,0.4935963182117028,0.05842866535174229,0.4287734031677246,0.5520249835634451,0.6082273832525433,0.2610851658449758,0.5633464825772518,0.5635359572761919,0.49319213313161875,0.6338797814207651,0.5513256392840032,0.036919783081462335,788
calendar+equity_rotation,"['calendar', 'equity_rotation']",ok,41,2633,2007-08-20,2018-02-02,0.482387020559996,0.053856884331171806,0.468402624130249,0.5362439048911678,0.5968224114003238,0.2543117847845755,0.531025360679636,0.5307047014514026,0.4514200298953662,0.6099893730074389,0.5239690536012928,0.015711203235094427,805
equity_rotation+futures_core+rates_credit,"['equity_rotation', 'futures_core', 'rates_credit']",ok,58,2627,2007-08-20,2018-02-02,0.49427824718987085,0.04990358021872071,0.5119504630565643,0.5441818274085916,0.5970382181116843,0.25214002126665214,0.5560059374286367,0.5527008573479932,0.5258964143426295,0.5795053003533569,0.5482350115269518,0.030646486188991677,801
breadth+calendar+macro_cross_asset,"['breadth', 'calendar', 'macro_cross_asset']",ok,54,2625,2007-08-20,2018-02-02,0.4924114993501033,0.0458432092157911,0.4534992426633835,0.5382547085658944,0.6011335155307995,0.2563338376438368,0.545158268980809,0.5429998180855719,0.4469096671949287,0.6390899689762151,0.5294293169959677,0.045942764371957566,799
breadth+calendar+interaction_consensus,"['breadth', 'calendar', 'interaction_consensus']",ok,58,2629,2007-08-20,2018-02-02,0.4966401414677277,0.04554755589238346,0.4571658670902252,0.5421876973601112,0.6061752697631025,0.2560361984201213,0.5418877099911583,0.5419571555330207,0.4752186588921283,0.6086956521739131,0.5337331365818107,0.04147164507569797,803
macro_cross_asset+technical_dynamics,"['macro_cross_asset', 'technical_dynamics']",ok,51,2625,2007-08-20,2018-02-02,0.4924114993501033,0.04463261717256661,0.4248734563589096,0.5370441165226699,0.5930800808169894,0.25997132873666084,0.5340717944797002,0.5324034904969867,0.43993759750390016,0.6248693834900731,0.5372625761402726,0.015284874961332573,799
breadth+calendar+rates_credit,"['breadth', 'calendar', 'rates_credit']",ok,62,2633,2007-08-20,2018-02-02,0.482387020559996,0.0442743678680943,0.5279370546340942,0.5266613884280903,0.5952326543725697,0.25571983437801604,0.5412393806866738,0.5316770186335403,0.5316770186335403,0.5316770186335403,0.5252473719096177,0.023809952408866707,805
