feature_date,target_date,future_log_return,direction,implied_realized_ratio_20,realized_volatility_20,vvix_level,ma_alignment_score,adx_14,rsp_relative_return_20,sector_volume_breadth,hyg_lqd_relative_return_5,crude_return_5d,outer_fold,actual_up,score,saved_decision_threshold,predicted_up,regime__implied_realized_ratio_20,regime__realized_volatility_20,regime__vvix_level,regime__ma_alignment_score,regime__adx_14,regime__rsp_relative_return_20,regime__sector_volume_breadth,regime__hyg_lqd_relative_return_5,regime__crude_return_5d
2010-11-22,2010-11-23,-0.014582939436894508,DOWN,1.4941220881910633,0.007745024922724655,78.38999938964844,1.0,16.601858825279944,0.005811384279766253,0.19147715313253716,-0.01577255226283777,-0.03745939496495734,1,0,0.6192055940628052,0.3204227089881897,1,HIGH,LOW,MID,HIGH,LOW,MID,MID,LOW,LOW
2010-11-23,2010-11-24,0.014666091871414004,UP,1.5349464499363308,0.008466535060884788,87.44000244140625,0.0,16.332015998058417,0.0057422575285277135,-1.1355416989767149,-0.013739651928179473,-0.01332615065645079,1,1,0.7197080850601196,0.3204227089881897,1,HIGH,LOW,MID,MID,LOW,MID,LOW,LOW,MID
2010-11-24,2010-11-26,-0.011715564095365463,DOWN,1.3580402098717725,0.009073105048074792,81.55000305175781,0.0,15.177396836648109,0.010149498341554071,0.8353237468590686,-0.004585739349279617,0.04163715376573649,1,0,0.05222691595554352,0.3204227089881897,0,MID,LOW,MID,MID,LOW,HIGH,HIGH,MID,HIGH
2010-11-30,2010-12-01,0.02104465366343367,UP,1.5469721130977032,0.00958569751122601,95.7300033569336,0.0,14.21114398385547,0.008168881660188497,-0.8761423970316451,0.0003598868887716598,0.028582021229258847,1,1,0.87420654296875,0.3204227089881897,1,HIGH,LOW,HIGH,MID,LOW,HIGH,LOW,MID,HIGH
2010-12-01,2010-12-02,0.012727481608891575,UP,1.2621698740667089,0.010660637605190277,92.02999877929688,0.0,13.752548386224113,0.011184239475715143,1.0821390905975852,0.023410887673893897,0.06549959761712174,1,1,0.7500211596488953,0.3204227089881897,1,MID,LOW,HIGH,MID,LOW,HIGH,HIGH,HIGH,HIGH
2010-12-20,2010-12-21,0.00632028122768749,UP,1.2500820428066062,0.008269319841977976,84.08999633789062,1.0,22.741710450787174,0.014588825681064559,0.20982529788186788,0.007026576861084569,0.002254503832917179,1,1,0.8475766181945801,0.3204227089881897,1,MID,LOW,MID,HIGH,MID,HIGH,MID,HIGH,MID
2010-12-31,2011-01-03,0.010284924806456493,UP,3.6988365311883196,0.003022963815488594,86.36000061035156,1.0,26.791599556954065,0.0045614454528503795,-0.03253386974880211,0.000757827134463835,-0.0014216731930999807,1,1,0.9249404668807983,0.3204227089881897,1,HIGH,LOW,MID,HIGH,MID,MID,MID,MID,MID
2011-01-11,2011-01-12,0.008984096335089451,UP,2.853014635895906,0.0037292831928930205,79.81999969482422,1.0,30.65095457312938,0.0030582838017105957,0.3031598494010991,0.002511544475223665,0.01917066164879293,1,1,0.6095890998840332,0.3204227089881897,1,HIGH,LOW,MID,HIGH,HIGH,MID,MID,MID,MID
2011-01-13,2011-01-14,0.007218628320147511,UP,2.6221449888723245,0.003937512677737276,78.63999938964844,1.0,32.33450678289074,0.004007086881409827,-0.7977506516750164,-0.008911817507021932,0.03359982652899185,1,1,0.41521069407463074,0.3204227089881897,1,HIGH,LOW,MID,HIGH,HIGH,MID,LOW,LOW,HIGH
2011-01-18,2011-01-19,-0.009853858305382115,DOWN,2.6456919393206313,0.0037786561959175635,79.7699966430664,1.0,34.7242055814782,-0.0011277979782485445,0.9664966332263227,0.00936148547232751,0.023585185418668046,1,0,0.6969825029373169,0.3204227089881897,1,HIGH,LOW,MID,HIGH,HIGH,MID,HIGH,HIGH,MID
