family,feature,regime,outer_fold,rows,up_share,roc_auc,mean_score
volatility,implied_realized_ratio_20,LOW,1,77,0.6363636363636364,0.661807580174927,0.5742845668457756
volatility,implied_realized_ratio_20,MID,1,105,0.5333333333333333,0.6071428571428571,0.6082229051084834
volatility,implied_realized_ratio_20,HIGH,1,163,0.558282208588957,0.50503663003663,0.6605801438522436
volatility,implied_realized_ratio_20,LOW,2,85,0.5294117647058824,0.4033333333333334,0.5349564608405618
volatility,implied_realized_ratio_20,MID,2,99,0.5959595959595959,0.5317796610169492,0.5367418641995902
volatility,implied_realized_ratio_20,HIGH,2,145,0.5517241379310345,0.6230769230769231,0.5364999450486282
volatility,implied_realized_ratio_20,LOW,3,124,0.5241935483870968,0.5921773142112126,0.5758529588459961
volatility,implied_realized_ratio_20,MID,3,62,0.5806451612903226,0.6591880341880342,0.5573843214660883
volatility,implied_realized_ratio_20,HIGH,3,131,0.5801526717557252,0.5619617224880383,0.5378316484448564
volatility,realized_volatility_20,LOW,1,286,0.5699300699300699,0.5625716993366252,0.6490481070732703
volatility,realized_volatility_20,MID,1,12,0.5833333333333334,0.2857142857142857,0.690466281802704
volatility,realized_volatility_20,HIGH,1,47,0.5531914893617021,0.6282051282051283,0.46477715163496697
volatility,realized_volatility_20,LOW,2,216,0.5509259259259259,0.5988911028328857,0.5412672333143376
volatility,realized_volatility_20,MID,2,79,0.6075949367088608,0.3850806451612903,0.5145086050033569
volatility,realized_volatility_20,HIGH,2,34,0.5,0.5259515570934257,0.5541568696498871
volatility,realized_volatility_20,LOW,3,143,0.5874125874125874,0.5970540758676351,0.5451420110005599
volatility,realized_volatility_20,MID,3,62,0.532258064516129,0.5067920585161965,0.5859710550716808
volatility,realized_volatility_20,HIGH,3,112,0.5357142857142857,0.625,0.5547681052370795
volatility,vvix_level,LOW,1,37,0.6486486486486487,0.5801282051282051,0.5855581249657867
volatility,vvix_level,MID,1,138,0.5434782608695652,0.5473015873015874,0.6900134001201799
volatility,vvix_level,HIGH,1,170,0.5705882352941176,0.588617426917102,0.5815904723006604
volatility,vvix_level,LOW,2,68,0.4852941176470588,0.5584415584415585,0.546377861762748
volatility,vvix_level,MID,2,113,0.5663716814159292,0.5411352040816326,0.5322525095095677
volatility,vvix_level,HIGH,2,148,0.5878378378378378,0.5225174298096853,0.5344797809784477
volatility,vvix_level,LOW,3,12,0.5,0.7222222222222223,0.5858352153251568
volatility,vvix_level,MID,3,89,0.5955056179775281,0.6488469601677148,0.5442038292295477
volatility,vvix_level,HIGH,3,216,0.5462962962962963,0.5565548253199584,0.5599785990219701
trend,ma_alignment_score,LOW,1,0,,,
trend,ma_alignment_score,MID,1,201,0.5671641791044776,0.603448275862069,0.5905142324139463
trend,ma_alignment_score,HIGH,1,144,0.5694444444444444,0.5074744295830055,0.6740591626126944
trend,ma_alignment_score,LOW,2,87,0.5862068965517241,0.48474945533769065,0.5534567493816902
trend,ma_alignment_score,MID,2,242,0.5495867768595041,0.5475615644616127,0.529960737863848
trend,ma_alignment_score,HIGH,2,0,,,
trend,ma_alignment_score,LOW,3,76,0.5657894736842105,0.6511627906976745,0.5673939740579379
trend,ma_alignment_score,MID,3,241,0.5560165975103735,0.5719765657692845,0.553102069484124
trend,ma_alignment_score,HIGH,3,0,,,
trend,adx_14,LOW,1,186,0.510752688172043,0.5086176980913824,0.6254032195608087
trend,adx_14,MID,1,107,0.6542056074766355,0.6749034749034749,0.6359704624625928
trend,adx_14,HIGH,1,52,0.5961538461538461,0.5529953917050692,0.6035392655696796
trend,adx_14,LOW,2,143,0.5454545454545454,0.5110453648915187,0.5316695581366132
trend,adx_14,MID,2,94,0.6063829787234043,0.5002370791844476,0.535358154076211
trend,adx_14,HIGH,2,92,0.532608695652174,0.6131941148552444,0.5440089398104212
trend,adx_14,LOW,3,62,0.5,0.7159209157127991,0.6088919363194897
trend,adx_14,MID,3,93,0.6666666666666666,0.5249739854318418,0.579457609403518
trend,adx_14,HIGH,3,162,0.5185185185185185,0.5731074481074482,0.5233252039984052
breadth,rsp_relative_return_20,LOW,1,60,0.6166666666666667,0.5052878965922445,0.45286407239280685
breadth,rsp_relative_return_20,MID,1,196,0.5561224489795918,0.602130127596752,0.6289195331917988
breadth,rsp_relative_return_20,HIGH,1,89,0.5617977528089888,0.5374358974358975,0.7339079469918003
breadth,rsp_relative_return_20,LOW,2,98,0.5102040816326531,0.5316666666666667,0.5258427520795744
breadth,rsp_relative_return_20,MID,2,176,0.5852272727272727,0.5467482377975795,0.5423110267994079
breadth,rsp_relative_return_20,HIGH,2,55,0.5636363636363636,0.5094086021505376,0.5349437334320762
breadth,rsp_relative_return_20,LOW,3,173,0.4797687861271676,0.5353413654618474,0.533847521732136
breadth,rsp_relative_return_20,MID,3,79,0.6455696202531646,0.5854341736694678,0.5936534234994575
breadth,rsp_relative_return_20,HIGH,3,65,0.6615384615384615,0.7241014799154334,0.5717738316609309
breadth,sector_volume_breadth,LOW,1,123,0.5365853658536586,0.6044657097288676,0.6538855880754432
breadth,sector_volume_breadth,MID,1,88,0.6363636363636364,0.5518973214285714,0.5761360099025875
breadth,sector_volume_breadth,HIGH,1,134,0.5522388059701493,0.5439189189189189,0.6315670442292834
breadth,sector_volume_breadth,LOW,2,97,0.5979381443298969,0.5565870910698497,0.5479066596203244
breadth,sector_volume_breadth,MID,2,115,0.5565217391304348,0.5199142156862745,0.5297507387140523
breadth,sector_volume_breadth,HIGH,2,117,0.5299145299145299,0.5363636363636364,0.532760297640776
