family,feature,regime,outer_fold,rows,up_share,roc_auc,mean_score,auc_lower_95,auc_upper_95,probability_auc_above_0_50,bootstrap_valid_resamples
volatility,implied_realized_ratio_20,LOW,,286,0.5559440559440559,0.5755459812806418,0.5632761458583077,0.5078270912438457,0.6351753098320165,0.9885,2000
volatility,implied_realized_ratio_20,MID,,266,0.5676691729323309,0.5874460120932911,0.5697694643723596,0.504809111143857,0.6442671595114123,0.9825,2000
volatility,implied_realized_ratio_20,HIGH,,439,0.5626423690205011,0.5428896761133603,0.5829681125882529,0.49161585312313194,0.5987114224849623,0.9485,2000
volatility,realized_volatility_20,LOW,,645,0.5674418604651162,0.5722329944963472,0.5899175016929182,0.5280667751017576,0.6205910089700595,1.0,2000
volatility,realized_volatility_20,MID,,153,0.5751633986928104,0.43548951048951046,0.5572678470022343,0.32654100825283094,0.552389638676225,0.1675,2000
volatility,realized_volatility_20,HIGH,,193,0.533678756476684,0.6064724919093852,0.5327455309921892,0.560546510270775,0.6705391318771051,1.0,2000
volatility,vvix_level,LOW,,117,0.5384615384615384,0.5714285714285714,0.5628151094658363,0.4645578729504718,0.6207636161298768,0.8445,2000
volatility,vvix_level,MID,,340,0.5647058823529412,0.5616554054054054,0.599413304684105,0.5029712521882673,0.619123727540277,0.979,2000
volatility,vvix_level,HIGH,,534,0.5655430711610487,0.5615437314455355,0.5597916952521874,0.5146621144668655,0.6056100718855782,0.996,2000
trend,ma_alignment_score,LOW,,163,0.5766871165644172,0.5843354918285538,0.5599550872675481,0.4667466303897128,0.6839808818994755,0.902,2000
trend,ma_alignment_score,MID,,684,0.5570175438596491,0.5735211316407232,0.5559085643624683,0.5291771965713497,0.6128323525865991,0.9995,2000
trend,ma_alignment_score,HIGH,,144,0.5694444444444444,0.5074744295830055,0.6740591626126944,0.43349387756776697,0.614271000542135,0.6185,2000
trend,adx_14,LOW,,391,0.5217391304347826,0.5395302506029149,0.5885039532062775,0.4662624176765699,0.5878099420311552,0.8125,2000
trend,adx_14,MID,,294,0.6428571428571429,0.581456286218191,0.5859253865346545,0.5173868630768107,0.6458362654493878,0.994,2000
trend,adx_14,HIGH,,306,0.5359477124183006,0.5755324630711096,0.5431749912415809,0.5269451990730631,0.6412199840592729,0.997,2000
breadth,rsp_relative_return_20,LOW,,331,0.513595166163142,0.5078553160394592,0.5167977501722847,0.46230052896664736,0.5681062049701775,0.6935,2000
breadth,rsp_relative_return_20,MID,,451,0.5831485587583148,0.5799894830515331,0.5889436578242694,0.5356027560366136,0.6240686485918645,0.9995,2000
breadth,rsp_relative_return_20,HIGH,,209,0.5933014354066986,0.5817836812144211,0.6311244577942341,0.48460338712454043,0.6497732573878153,0.9515,2000
breadth,sector_volume_breadth,LOW,,314,0.5668789808917197,0.5786516853932584,0.5995455688547052,0.5140419223620313,0.6320076491840675,0.994,2000
breadth,sector_volume_breadth,MID,,323,0.5758513931888545,0.5426575622007692,0.5516394671916258,0.4972435211900036,0.5938780771995331,0.9635,2000
breadth,sector_volume_breadth,HIGH,,354,0.5451977401129944,0.5638657355260194,0.5710220342980058,0.510983859449958,0.6277124282564788,0.993,2000
rates_credit,hyg_lqd_relative_return_5,LOW,,299,0.5719063545150501,0.5880391081871345,0.5612943036997796,0.5223405252573647,0.6440433003085443,0.995,2000
rates_credit,hyg_lqd_relative_return_5,MID,,396,0.547979797979798,0.5652755966325979,0.5798139838049673,0.5044613909606717,0.6379750476820983,0.982,2000
rates_credit,hyg_lqd_relative_return_5,HIGH,,296,0.5709459459459459,0.5395331500722174,0.5781936563235321,0.49533008118501637,0.5934709702781715,0.952,2000
cross_asset,crude_return_5d,LOW,,341,0.533724340175953,0.6046029442255858,0.5461005630220137,0.54159362785398,0.6651582671496035,0.999,2000
cross_asset,crude_return_5d,MID,,380,0.5947368421052631,0.5316055625790138,0.6026754734497468,0.4893245295814846,0.5807820516242096,0.939,2000
cross_asset,crude_return_5d,HIGH,,267,0.550561797752809,0.5495464852607709,0.5697773267945403,0.4862823349987328,0.6154733495612466,0.9365,2000
