family,feature,regime,threshold_source,lower_threshold_q33,upper_threshold_q67,rows,up_share,roc_auc,sign_accuracy,magnitude_weighted_sign_accuracy,mean_score
volatility,target_rolling_volatility,LOW,development_MOVE_tertiles_only,0.007508774038135087,0.011021775577374217,51,0.5490196078431373,0.5916149068322982,0.5294117647058824,0.526707568418976,0.46988229198039216
volatility,target_rolling_volatility,MID,development_MOVE_tertiles_only,0.007508774038135087,0.011021775577374217,119,0.5882352941176471,0.47259475218658886,0.4789915966386555,0.4846183837165965,0.43386441990756297
volatility,target_rolling_volatility,HIGH,development_MOVE_tertiles_only,0.007508774038135087,0.011021775577374217,160,0.55,0.5722853535353536,0.53125,0.5396976258105572,0.4190650250625
volatility,realized_volatility_20,LOW,development_MOVE_tertiles_only,0.006863125753346404,0.011395504790688134,60,0.5333333333333333,0.4207589285714285,0.4,0.4097107891166656,0.4506983230166667
volatility,realized_volatility_20,MID,development_MOVE_tertiles_only,0.006863125753346404,0.011395504790688134,130,0.5692307692307692,0.5398166023166023,0.5461538461538461,0.542125429573799,0.4510894506
volatility,realized_volatility_20,HIGH,development_MOVE_tertiles_only,0.006863125753346404,0.011395504790688134,140,0.5714285714285714,0.5983333333333334,0.5285714285714286,0.5336879028899214,0.40686242079285717
volatility,realized_volatility_40,LOW,development_MOVE_tertiles_only,0.0072548708989772625,0.011008104809655766,56,0.5178571428571429,0.47126436781609193,0.39285714285714285,0.4321547271362062,0.4117697523392857
volatility,realized_volatility_40,MID,development_MOVE_tertiles_only,0.0072548708989772625,0.011008104809655766,113,0.5929203539823009,0.5337443218689162,0.5398230088495575,0.5326807212309154,0.4471310991592921
volatility,realized_volatility_40,HIGH,development_MOVE_tertiles_only,0.0072548708989772625,0.011008104809655766,161,0.5590062111801242,0.5688575899843505,0.5341614906832298,0.5346688451685901,0.42894004058385093
volatility,vix_level,LOW,development_MOVE_tertiles_only,15.890000343322754,21.68000030517578,23,0.6956521739130435,0.6339285714285714,0.6086956521739131,0.6340988847299489,0.5266787402608696
