phase,target_name,target_role,volatility_window,threshold_multiplier,candidate_name,groups,feature_count,development_rows,verification_rows,verification_move_rows,development_oof_auc,development_oof_auc_fold_std,development_base_oof_auc,development_delta_auc,verification_auc,verification_base_auc,verification_delta_auc,verification_delta_lower_95,verification_delta_upper_95,verification_probability_delta_positive,verification_balanced_accuracy,verification_macro_f1,verification_down_f1,verification_up_f1,status
robustness,neighbor_90d_k675,local_robustness,90,0.675,breadth+calendar+interaction_consensus,"['breadth', 'calendar', 'interaction_consensus']",58,2629,659,263,0.4861052508204407,0.025103944011878064,0.4900492264416315,-0.0039439756211908095,0.5489028944911298,0.5033846872082166,0.045518207282913226,-0.05139994446687786,0.16691491635733882,0.869,0.5215044351073763,0.5109646089776098,0.39195979899497485,0.6299694189602446,ok
robustness,neighbor_90d_k675,local_robustness,90,0.675,calendar+technical_dynamics,"['calendar', 'technical_dynamics']",52,2633,659,263,0.49123195801137187,0.01302225700964701,0.5233357632307917,-0.0321038052194198,0.5344304388422035,0.49463118580765636,0.03979925303454718,-0.05366351972265759,0.13259148486980993,0.794,0.4884453781512605,0.4623051367237414,0.2967032967032967,0.627906976744186,ok
robustness,neighbor_90d_k675,local_robustness,90,0.675,equity_rotation+futures_core+rates_credit,"['equity_rotation', 'futures_core', 'rates_credit']",58,2627,659,263,0.4954449152542373,0.007664631438558902,0.5299846986817325,-0.034539783427495196,0.5063608776844071,0.4726890756302521,0.03367180205415499,-0.04257970328282831,0.12411600479936638,0.842,0.5004960317460317,0.4854986958141846,0.35051546391752575,0.6204819277108434,ok
robustness,neighbor_90d_k725,local_robustness,90,0.725,breadth+calendar+interaction_consensus,"['breadth', 'calendar', 'interaction_consensus']",58,2629,659,244,0.524669838405381,0.01765425418566211,0.5183400322642386,0.0063298061411423134,0.4974296536796537,0.48694534632034636,0.010484307359307332,-0.06759585400198125,0.09407691287041137,0.567,0.5001352813852814,0.4984583761562179,0.42857142857142855,0.5683453237410072,ok
robustness,neighbor_90d_k725,local_robustness,90,0.725,calendar+technical_dynamics,"['calendar', 'technical_dynamics']",52,2633,659,244,0.4804066229218373,0.009410035838050572,0.5095026008907626,-0.029095977968925324,0.5395021645021645,0.5357819264069263,0.0037202380952381375,-0.07544487253664359,0.09590170326194988,0.552,0.5311147186147186,0.5283070974868821,0.45098039215686275,0.6056338028169014,ok
robustness,neighbor_90d_k725,local_robustness,90,0.725,equity_rotation+futures_core+rates_credit,"['equity_rotation', 'futures_core', 'rates_credit']",58,2627,659,244,0.4902282590781739,0.015982508417351243,0.47228478822172176,0.01794347085645215,0.5218479437229436,0.4759199134199134,0.04592803030303022,-0.04296677504963109,0.16295145029868116,0.883,0.540719696969697,0.5391483516483516,0.47115384615384615,0.6071428571428571,ok
robustness,runnerup_30d_k725,runner_up,30,0.725,breadth+calendar+interaction_consensus,"['breadth', 'calendar', 'interaction_consensus']",58,2689,659,277,0.5439743277951443,0.017857962815142927,0.4974820122548002,0.04649231554034411,0.5035634506967344,0.5496755664291033,-0.04611211573236895,-0.16473533648421715,0.0652270299145299,0.197,0.4915700457398149,0.48881617695177015,0.4555984555984556,0.5220338983050847,ok
robustness,runnerup_30d_k725,runner_up,30,0.725,calendar+technical_dynamics,"['calendar', 'technical_dynamics']",52,2684,659,277,0.5350321888412017,0.01764887099186421,0.5050906056270863,0.02994158321411544,0.5241995532390171,0.5088820338261887,0.01531751941282844,-0.06973565549627193,0.09877828640049365,0.618,0.5330815870652058,0.5234256139003824,0.38578680203045684,0.6610644257703081,ok
robustness,runnerup_30d_k725,runner_up,30,0.725,equity_rotation+futures_core+rates_credit,"['equity_rotation', 'futures_core', 'rates_credit']",58,2687,659,277,0.5042504393411372,0.014736545495100438,0.4699431090459596,0.03430733029517763,0.4967556642910329,0.4491011594511223,0.04765450483991063,-0.03836133497985183,0.14888732822903225,0.871,0.513402829486225,0.4926739926739927,0.5238095238095238,0.46153846153846156,ok
robustness,runnerup_40d_k725,runner_up,40,0.725,breadth+calendar+interaction_consensus,"['breadth', 'calendar', 'interaction_consensus']",58,2679,659,263,0.4824977787514757,0.02564279015494019,0.487573179489052,-0.0050754007375762855,0.5128929706817379,0.48669492523254443,0.026198045449193463,-0.06656129808785616,0.14204903358419252,0.745,0.5107441422347816,0.5085593731163351,0.4095238095238095,0.6075949367088608,ok
robustness,runnerup_40d_k725,runner_up,40,0.725,calendar+technical_dynamics,"['calendar', 'technical_dynamics']",52,2683,659,263,0.5236284364781397,0.025640591090497773,0.49703887610512293,0.026589560373016796,0.49576121511833277,0.43265041799128695,0.06311079712704581,-0.07557734161882158,0.15570910706940116,0.744,0.49214058636524194,0.49192132068844396,0.4358974358974359,0.547945205479452,ok
robustness,runnerup_40d_k725,runner_up,40,0.725,equity_rotation+futures_core+rates_credit,"['equity_rotation', 'futures_core', 'rates_credit']",58,2677,659,263,0.5064274089831345,0.02205064304769354,0.5297660045226529,-0.023338595539518336,0.5067114093959731,0.5105969622041682,-0.0038855528081950252,-0.09370081728144414,0.12558381984987482,0.572,0.5079182856470035,0.5008871676978384,0.3756345177664975,0.6261398176291794,ok
