feature,direction,predictive_auc,fold_predictive_auc_mean,fold_predictive_auc_std,move_rows,start_date,end_date
es_spy_divergence_1d,positive,0.5440222840994787,0.554707139775061,0.011329083514612235,1978,2007-06-08,2020-10-26
dxy_return_20d,negative,0.5137079616289053,0.5430327948257686,0.01365169697480444,1977,2007-06-08,2020-10-26
tlt_ief_relative_return,positive,0.524770735146501,0.5416866442993431,0.01819550632025668,1980,2007-06-08,2020-10-26
tlt_return,positive,0.525681488549421,0.5393122951305632,0.014980032781750715,1980,2007-06-08,2020-10-26
signal_disagreement_20,negative,0.517408208772385,0.5351355861576181,0.020243930478695826,1980,2007-06-08,2020-10-26
hyg_tlt_risk_on_1d,negative,0.5187769233075339,0.5347934308086346,0.008317409981193319,1980,2007-06-08,2020-10-26
third_friday_week_flag,negative,0.5024221285165057,0.534545054062915,0.006369662693006566,1980,2007-06-08,2020-10-26
sector_return_dispersion,negative,0.5465998711919704,0.534063762626395,0.007095759785765209,1980,2007-06-08,2020-10-26
rsp_relative_return,positive,0.5258510272078534,0.5333674110814881,0.011311838684353813,1980,2007-06-08,2020-10-26
distance_from_252d_low,positive,0.5159274120883741,0.5326731909940938,0.023735002133928314,1839,2008-04-11,2020-10-26
dxy_return_5d,negative,0.5109033298910497,0.5325285793940814,0.009160672072811142,1977,2007-06-08,2020-10-26
relative_volume_20,positive,0.5045573852176763,0.5321975382064518,0.009654765729991669,1980,2007-06-08,2020-10-26
lqd_return_5,positive,0.517804143566163,0.5321527234973489,0.009668776167184338,1980,2007-06-08,2020-10-26
vix_vix3m_ratio,negative,0.5098218706936922,0.531662345876769,0.009018399331087596,1980,2007-06-08,2020-10-26
lqd_return,positive,0.5266170524877213,0.5310661233806183,0.02053251830951572,1980,2007-06-08,2020-10-26
ief_return,positive,0.5249888611033865,0.5296758115300809,0.020428824981236302,1980,2007-06-08,2020-10-26
volatility_breadth_interaction,positive,0.5287300830842803,0.5295957888296624,0.023370525962582486,1980,2007-06-08,2020-10-26
es_spy_divergence_5d,positive,0.5171346928280226,0.5290796838678394,0.007122013165536313,1977,2007-06-08,2020-10-26
sma_50_slope_5,positive,0.506000531358966,0.52852952415252,0.030116600708529246,1980,2007-06-08,2020-10-26
trend_breadth_confirmation,negative,0.5231714893867765,0.5281375170232386,0.012901702911159229,1980,2007-06-08,2020-10-26
smallcap_credit_confirmation,positive,0.5061132125404851,0.5276537450573516,0.006319174539422395,1980,2007-06-08,2020-10-26
rsp_relative_return_20,positive,0.5230639770667952,0.5275857577001812,0.01672698651550059,1980,2007-06-08,2020-10-26
term_breadth_interaction,positive,0.515801726606508,0.5274562317054624,0.03065829890139791,1980,2007-06-08,2020-10-26
vix_term_slope,positive,0.5022613104043393,0.5274160680661063,0.021108972201679486,1456,2011-01-05,2020-10-26
es_nq_dispersion_1d,negative,0.5299838815271528,0.5273869742817622,0.023241174226845712,1978,2007-06-08,2020-10-26
skew_change,negative,0.5231390125951971,0.5272728433303311,0.006713012478559844,1954,2007-06-08,2020-10-26
cyclical_defensive_spread_5d,positive,0.5147172994559257,0.5269819194939404,0.014585977599316905,1980,2007-06-08,2020-10-26
crude_return_20d,positive,0.5085968599974049,0.5268252431952894,0.01814558115032419,1976,2007-06-08,2020-10-26
credit_volatility_interaction,positive,0.5250865525864467,0.5268217352418894,0.013104666346131923,1980,2007-06-08,2020-10-26
iwm_qqq_relative_return_5d,negative,0.5104385158751243,0.5260887880744265,0.01267254990974057,1980,2007-06-08,2020-10-26
ief_return_5,positive,0.5159335325757161,0.5258973305102423,0.012964293060144962,1980,2007-06-08,2020-10-26
hyg_lqd_relative_return,negative,0.5202138668149785,0.5258074006773782,0.0058444097031013584,1980,2007-06-08,2020-10-26
vix9d_vix_ratio,negative,0.5019521619206115,0.5255650845667023,0.01631780870045393,1456,2011-01-05,2020-10-26
consensus_strength_20,negative,0.5140877321206495,0.5255226488543218,0.01263881482423272,1980,2007-06-08,2020-10-26
gap_volatility_interaction,negative,0.5240016085497105,0.5255097548298636,0.016176442460741503,1980,2007-06-08,2020-10-26
nq_return_1d,negative,0.5217024463615344,0.5254775900117548,0.005379304028740413,1978,2007-06-08,2020-10-26
vvix_change_5,negative,0.5081926455370498,0.5253470556634503,0.01726972380440114,1980,2007-06-08,2020-10-26
bollinger_position_change,negative,0.5286494488442942,0.5249211320425745,0.010794070379530332,1980,2007-06-08,2020-10-26
vix3m_change_5,positive,0.5015966613289556,0.5248757176214925,0.012736408062289116,1980,2007-06-08,2020-10-26
hyg_return,positive,0.5084490210693134,0.5245735162391832,0.004194245438656868,1980,2007-06-08,2020-10-26
sector_breadth_acceleration_5,negative,0.5259993735339816,0.5244130977590559,0.01898883070909924,1980,2007-06-08,2020-10-26
tech_defensive_spread_5d,positive,0.5098451305706113,0.5243559917086721,0.017328868358020996,1980,2007-06-08,2020-10-26
iwm_relative_return_5,negative,0.5073723472110374,0.5242773350167022,0.015214418862908556,1980,2007-06-08,2020-10-26
vix9d_level,positive,0.5019666081114399,0.5241962146040094,0.016321638499840307,1456,2011-01-05,2020-10-26
candle_body_to_range,negative,0.5237509187651382,0.5241297468671887,0.01653058140095173,1980,2007-06-08,2020-10-26
