candidate_name,groups,group_count,feature_count,training_rows,training_start,training_end,stage2_roc_auc,matched_base_roc_auc,delta_roc_auc_vs_matched_base,stage2_roc_auc_fold_mean,stage2_roc_auc_fold_std,stage2_average_precision,stage2_brier_score,stage2_balanced_accuracy,stage2_macro_f1,stage2_down_f1,stage2_up_f1
breadth+calendar,breadth|calendar,2,45,3368,2007-06-08,2020-10-26,0.5544651546192249,0.4744509384704987,0.08001421614872617,0.5539042037922353,0.007249148278461331,0.6126382349514596,0.25242817425873826,0.5508515733592351,0.550977124678079,0.4782608695652174,0.6236933797909407
breadth+futures_core+interaction_consensus+rates_credit+trend_direction,breadth|futures_core|interaction_consensus|rates_credit|trend_direction,5,92,3151,2008-04-10,2020-10-26,0.5538216895890815,0.48245329514100976,0.07136839444807175,0.5552639395726335,0.026118240795721785,0.6045383207888722,0.252887794733711,0.5618641925904084,0.5613412538764564,0.510569105691057,0.6121134020618557
futures_core,futures_core,1,31,3362,2007-06-08,2020-10-26,0.5417489601101236,0.4828885746775593,0.05886038543256433,0.5420625796322341,0.004351329462448771,0.5940646915003179,0.25397946992554166,0.5458430589221055,0.5459331730176173,0.4755804643714972,0.6162858816637375
breadth+calendar+rates_credit+technical_dynamics,breadth|calendar|rates_credit|technical_dynamics,4,82,3368,2007-06-08,2020-10-26,0.531696987627857,0.4744509384704987,0.057246049157358314,0.532517178141358,0.008943204281292598,0.5970038814803231,0.25625614093962357,0.5267111014351984,0.525742912692795,0.43133951137320975,0.6201463140123804
futures_core+technical_dynamics+volatility_options_short,futures_core|technical_dynamics|volatility_options_short,3,58,2457,2011-01-11,2020-10-26,0.5366216752679636,0.48160409459536097,0.055017580672602595,0.5417433355482665,0.018131754342732224,0.5924869239178177,0.25858838419110286,0.5321272613849033,0.5316861868598097,0.4431687715269805,0.620203602192639
breadth+calendar+rates_credit+technical_dynamics+volatility_options_short,breadth|calendar|rates_credit|technical_dynamics|volatility_options_short,5,88,2463,2011-01-11,2020-10-26,0.5344355346690919,0.47987161430502573,0.054563920364066154,0.5355191419146538,0.00737043984800584,0.6035825548657553,0.258430219825748,0.5277685377194907,0.5270686669215717,0.4346820809248555,0.619455252918288
equity_rotation+technical_dynamics+volatility_options_core,equity_rotation|technical_dynamics|volatility_options_core,3,66,3301,2007-06-08,2020-10-26,0.5445923743034725,0.49279353552363075,0.05179883877984176,0.5420948387620851,0.009163545021599977,0.5996997391735388,0.25449968854397864,0.5460034575437407,0.5450209604136858,0.4897959183673469,0.6002460024600246
futures_core+technical_dynamics+volatility_options_core,futures_core|technical_dynamics|volatility_options_core,3,66,3295,2007-06-08,2020-10-26,0.5413982539458629,0.4904351028980737,0.05096315104778926,0.5385938444650169,0.032912446702050235,0.5956205301219581,0.2528893846901802,0.5411494333944609,0.5404375174944795,0.4825949367088608,0.5982800982800983
futures_core+interaction_consensus,futures_core|interaction_consensus,2,43,3362,2007-06-08,2020-10-26,0.5323993027500973,0.4828885746775593,0.04951072807253798,0.5337061577853345,0.029519596474575704,0.5861896927684743,0.2566274934818952,0.5425288775174313,0.5398824183873899,0.4324801412180053,0.6472846955567746
equity_rotation+futures_core,equity_rotation|futures_core,2,41,3362,2007-06-08,2020-10-26,0.5304569904539606,0.4828885746775593,0.04756841577640125,0.5369888779862123,0.010698946021359608,0.5889086279148184,0.2596029914664801,0.5264554717658677,0.5262719885198271,0.4438984438984439,0.6086455331412104
breadth+calendar+rates_credit,breadth|calendar|rates_credit,3,61,3368,2007-06-08,2020-10-26,0.5215186717204703,0.4744509384704987,0.0470677332499716,0.5185830427831181,0.00799884769940682,0.5802073851283305,0.25614872843198,0.5307582380162891,0.5307764365415905,0.45447219983883963,0.6070806732443412
equity_rotation+technical_dynamics,equity_rotation|technical_dynamics,2,52,3368,2007-06-08,2020-10-26,0.5212600271297708,0.4744509384704987,0.046809088659272136,0.5173853865555481,0.013644252280980993,0.5845506122200373,0.25729528197210066,0.5240567380637382,0.5210526315789473,0.4105263157894737,0.631578947368421
equity_rotation+futures_core+technical_dynamics+volatility_options_short,equity_rotation|futures_core|technical_dynamics|volatility_options_short,4,68,2457,2011-01-11,2020-10-26,0.528217688425112,0.48160409459536097,0.046613593829751,0.5303612136752335,0.01939052948876524,0.5876355921819334,0.2566560102397119,0.5277320932342766,0.526838075978622,0.4325581395348837,0.6211180124223602
breadth+futures_core+technical_dynamics+volatility_options_short,breadth|futures_core|technical_dynamics|volatility_options_short,4,73,2457,2011-01-11,2020-10-26,0.5282035104633358,0.48160409459536097,0.046599415867974836,0.5264023223779845,0.04319969035687343,0.6031533124207613,0.2576529314704411,0.52966738501673,0.5293606253113552,0.46844919786096256,0.5902720527617478
breadth+calendar+interaction_consensus+rates_credit,breadth|calendar|interaction_consensus|rates_credit,4,73,3364,2007-06-08,2020-10-26,0.5370912913181554,0.4915145890176082,0.04557670230054717,0.5365408240023698,0.00911389624346641,0.6042096581346833,0.2583022744803322,0.5460286487453594,0.5456044567212325,0.48761609907120745,0.6035928143712574
equity_rotation+futures_core+trend_direction+volatility_options_core,equity_rotation|futures_core|trend_direction|volatility_options_core,4,73,3084,2008-04-10,2020-10-26,0.5260564876700206,0.48165673214469573,0.044399755525324824,0.5269500386067496,0.01832558058903383,0.6013134495241168,0.2545881340297269,0.5300061994922112,0.5291903878071851,0.43613138686131386,0.6222493887530562
