block,alignment,rows,next_day_up_rate,directional_lift
1,BEARISH,220,0.509090909090909,0.012076974120769801
1,BULLISH,241,0.5228215767634855,0.0016536935518066675
2,BEARISH,132,0.5909090909090909,-0.03762441937624428
2,BULLISH,320,0.58125,0.027965328467153383
3,BEARISH,75,0.6933333333333334,-0.12836982968369837
3,BULLISH,382,0.5392670157068062,-0.02569648794282875
4,BEARISH,126,0.5793650793650794,-0.04651836403661225
4,BULLISH,350,0.5171428571428571,-0.015703858185610042
5,BEARISH,117,0.5470085470085471,0.01941481065568651
5,BULLISH,383,0.5848563968668408,0.018433039202607193
