candidate,breadth_feature_count,breadth_features,feature_count,cv_macro_f1,cv_macro_f1_std,delta_macro_f1_vs_baseline,folds_beating_baseline,passes_selection_gate,cv_balanced_accuracy,cv_accuracy,cv_down_f1,cv_flat_f1,cv_up_f1
rsp+dispersion+volume,3,rsp_relative_return|sector_return_dispersion|sector_volume_breadth,24,0.3670869420457288,0.011905318256487638,0.033373957337327065,3,True,0.37037233639083095,0.40567872423181645,0.4186784912633996,0.22745897407802687,0.4551233607957599
participation+dispersion+correlation+volume,4,sector_positive_participation|sector_return_dispersion|sector_average_correlation_20d|sector_volume_breadth,25,0.36413978692735083,0.021009218375301338,0.03042680221894911,3,True,0.36823133339322184,0.40840140023337224,0.3822965124201776,0.22524765909979916,0.4848751892620757
rsp+participation+dispersion,3,rsp_relative_return|sector_positive_participation|sector_return_dispersion,24,0.36292157176226203,0.011397447710794345,0.029208587053860313,3,True,0.3660723324914625,0.4049008168028005,0.41295211303260354,0.21236743692559348,0.4634451653285891
participation+dispersion+volume,3,sector_positive_participation|sector_return_dispersion|sector_volume_breadth,24,0.360681737755612,0.025651037242554953,0.026968753047210303,3,True,0.3653086699600396,0.3959548813691171,0.3946995732902779,0.2356215136614411,0.4517241263151172
rsp+participation+correlation+volume,4,rsp_relative_return|sector_positive_participation|sector_average_correlation_20d|sector_volume_breadth,25,0.3593905207572172,0.011779935036195805,0.025677536048815508,3,True,0.360181295706049,0.4052897705173084,0.3925120810379383,0.21305578445774068,0.47260369677597275
volume,1,sector_volume_breadth,22,0.35783060133008543,0.007799942631528036,0.024117616621683713,3,True,0.36051906454956084,0.3940101127965772,0.4041095561384675,0.22285339715911143,0.4465288506926773
rsp,1,rsp_relative_return,22,0.3576038808683409,0.011637880673540902,0.023890896159939168,3,True,0.3622049334941813,0.39362115908206924,0.4277967234544107,0.2197569884790913,0.4252579306715207
rsp+volume,2,rsp_relative_return|sector_volume_breadth,23,0.35597778445498984,0.020828482478094688,0.022264799746588126,2,True,0.35646012792230936,0.40062232594321273,0.39910583872680566,0.20313679039662333,0.46569072424154045
rsp+participation,2,rsp_relative_return|sector_positive_participation,23,0.3557187987208148,0.007796285418539629,0.022005814012413083,3,True,0.3559069723065961,0.4025670945157526,0.3968916492226244,0.19705375524208923,0.4732109916977308
participation+volume,2,sector_positive_participation|sector_volume_breadth,23,0.35440119828569827,0.003405564052039436,0.020688213577296555,3,True,0.35481158741821267,0.4014002333722287,0.3856350336369058,0.20222923981015975,0.4753393214100292
participation+correlation+volume,3,sector_positive_participation|sector_average_correlation_20d|sector_volume_breadth,24,0.353823650610545,0.015527429009882122,0.020110665902143277,2,True,0.3566590578780166,0.397121742512641,0.38653019667127203,0.19865513642092114,0.4762856187394417
rsp+participation+correlation,3,rsp_relative_return|sector_positive_participation|sector_average_correlation_20d,24,0.3534497001623573,0.016584463427305792,0.01973671545395561,2,True,0.3566542911848874,0.3955659276546091,0.4199531634068941,0.2032956700323978,0.4371002670477801
dispersion,1,sector_return_dispersion,22,0.35322626113307054,0.016213725542176698,0.019513276424668824,2,True,0.3563134268233988,0.397510696227149,0.4061758497372267,0.20052319977970537,0.4529797338822797
rsp+dispersion+correlation+volume,4,rsp_relative_return|sector_return_dispersion|sector_average_correlation_20d|sector_volume_breadth,25,0.35315098159806263,0.009944153808935164,0.019437996889660913,3,True,0.35584308176887186,0.3959548813691171,0.3897588720277332,0.20204053997069948,0.46765353279575517
participation,1,sector_positive_participation,22,0.3520943381369092,0.011836681421590197,0.018381353428507496,3,True,0.354492117263173,0.38739789964994165,0.39704998914480005,0.21936104579891882,0.4398719794670088
participation+dispersion,2,sector_positive_participation|sector_return_dispersion,23,0.3510655353381462,0.0014658207492349155,0.0173525506297445,3,True,0.35154232604073354,0.4068455853753403,0.4093224821361221,0.17079512227538543,0.4730790016029311
